Id,Label,timeset,d0,Authority,Hub,clustering,triangles
selection,selection,,0.000067,0.115262,0.115262,0.785165,1736
networks,networks,,0.000058,0.141491,0.141491,0.53798,2663
web,web,,0.000362,0.119791,0.119791,0.867428,1976
removal,removal,,0.000074,0.115525,0.115525,0.796472,1761
systems,systems,,0.062301,0.128788,0.128788,0.709185,2185
nodes,nodes,,0.000224,0.133937,0.133937,0.747785,2363
number,number,,0.00058,0.12385,0.123851,0.816097,2028
unexpected,unexpected,,0.000743,0.117863,0.117863,0.803775,1831
describing,describing,,0.000586,0.113941,0.113941,0.865575,1745
network,network,,0.000048,0.135454,0.135454,0.726588,2413
cell,cell,,0.062301,0.137344,0.137344,0.681806,2492
internet,internet,,0.000314,0.115679,0.115679,0.855769,1780
tolerance,tolerance,,0.00934,0.12295,0.12295,0.809077,2068
ability,ability,,0.028255,0.127892,0.127892,0.797112,2153
degree,degree,,0.001413,0.125373,0.125373,0.813927,2139
communicate,communicate,,0.006691,0.12374,0.12374,0.78795,2014
key,key,,0.000195,0.131962,0.131962,0.691358,2296
attacks,attacks,,0.00084,0.120283,0.120283,0.83626,1905
scale-free,scale-free,,0.000048,0.125842,0.125842,0.714952,2147
display,display,,0.062301,0.129364,0.129364,0.63253,2205
large-scale,large-scale,,0.000413,0.112959,0.112959,0.634234,1760
rates,rates,,0.062301,0.111928,0.111928,0.876785,1658
failure,failure,,0.000868,0.126092,0.126092,0.822379,2102
wide,wide,,0.001907,0.119885,0.119885,0.84065,1915
robustness,robustness,,0.002019,0.124924,0.124924,0.833333,2130
error,error,,0.062301,0.126522,0.126522,0.804517,2173
demonstrate,demonstrate,,0.000311,0.111268,0.111268,0.881544,1667
called,called,,0.00065,0.119568,0.119568,0.833187,1898
high,high,,0.000522,0.128722,0.128722,0.787368,2244
vulnerable,vulnerable,,0.000074,0.113982,0.113982,0.849206,1712
complex,complex,,0.000087,0.138554,0.138554,0.60344,2526
role,role,,0.062301,0.127252,0.127252,0.70172,2162
play,play,,0.062301,0.12207,0.12207,0.721754,2057
price,price,,0.001907,0.125055,0.125055,0.807903,2065
social,social,,0.000272,0.121521,0.121521,0.80911,1954
connectivity,connectivity,,0.000686,0.11266,0.11266,0.812019,1689
extremely,extremely,,0.000471,0.110982,0.110982,0.856161,1619
class,class,,0.000288,0.117836,0.117836,0.836725,1850
redundant,redundant,,0.016678,0.120607,0.120607,0.852089,1999
components,components,,0.001586,0.116461,0.116461,0.786871,1846
